Nombre,Categoría,Descripción,,Descripción larga,Especificaciones,Colores,Imágenes ;;;;;
"Rascador Premium Para Gato ,Rascadores,""Rascador 100% madera alfombrada, diseño exclusivo HO Factory Pet. Fabricado con materiales premium y acabados perfectos para el bienestar de tu gato."",,""Diseño sólido y estable: construidos con bases firmes que evitan movimientos y caídas. Diferentes diseños y alturas que se adecuan a cualquier ambiente. Multiples areas de rasgado recubiertas de cintas de algodón pesado, para evitar la  pérdida de pelos que puedan ser ingeridos por nuestra mascota. Y de máxima resistencia al rasgado. Plataformas y refugios pensados para un óptimo transito y uso de los espacios ideales para juego, descanso y observación. Tapizados resistentes y fáciles de limpiar, pensados para el uso diario-  Modelos verticales y compactos que se adaptan a cualquier espacio del hogar. Estética moderna, materiales y colores sobrios combinables con la decoración de la casa. "",Altura: 120 cm"; Base: 60 x 40 cm; Material: Madera maciza + Alfombra premium; Peso máximo: 25 kg; Edad recomendada: 6+ meses; Garantía: 2 años,gris  y  negro
"Cama Moisés para mascota,Camas Premium,""Cama Moisés Rectangular. de Pana aterciopelada, "",,""Anti desgarro con proceso Anti mancha. Rellena de Vellón Siliconado,  100% lavable. color inalterable. Mejor no hay, ya que la Pana aterciopelada es una caricia perfecta para garantizar un descanso confortable y un tacto inigualable que tu mascota percibe."",""Tamaños S (50X40), M (60X48), L (70X56)"",,";;;;;
"Cama Nido para mascota,Camas Premium,Cama Nido Oval de Pana aterciopelada.,,""Anti desgarro con proceso Anti mancha. Rellena de Vellón Siliconado,  100% lavable. color inalterable. Mejor no hay, ya que la Pana aterciopelada es una caricia perfecta para garantizar un descanso confortable y un tacto inigualable que tu mascota percibe."",""Tamaños S (50X40), M (60X48), L (70X56)"",,";;;;;
"Dormilón de Pana aterciopelada,Colchón Súper Premium,""Cama Dormilón de Pana aterciopelada, Anti desgarro. Ideal para interiores. "",,""El mejor colchón para perros grandes, súper confortable, con funda anti desgarro, anti manchas, 100% lavable, de colores inalterables y con apertura velcro para extraer el relleno y lavar. Su interior con colchón de friselina 80 y relleno de copos de goma espuma que se adaptan a la posición de la mascota."",Tamaños XL de 95x70 y XXL de 115x80 ,,";;;;;
"Colchoneta Cordura anti desgarro,Colchoneta ,Cama Colchoneta Cordura anti desgarro impermeable para interior y exterior. ,,""La mejor colchoneta de cordura importada, impermeable, anti desgarro, 100% lavable a cepillo, con cierre velcro para extraer la placa de colchón poliester de alta densidad- "",Tamaños XL de 95x70 y XXL de 115x80 ,,";;;;;
"Colchoneta Cordura ECO anti desgarro,Colchoneta almohadón,Cama Colchoneta almohadón de Cordura anti desgarro impermeable para interior y exterior.,,""Colchoneta-almohadón con piso impermeable y superior de cordura anti desgarro , relleno de placa poliester y vellón siliconado. Lavado a cepillo. "",,,";;;;;
"Cama Petrrari,Camas Exclusivas,""Cama exclusiva en forma de auto deportivo, pana sublimada premium."",,"" Anti desgarro y con proceso anti mancha. Diseño único inspirado en autos de lujo. 100% lavable y de colores inalterables. Exterior en Pana aterciopelada, anti desgarro y sublimada con diseños exclusivos"",""Tamaño: S, M";  Material: Pana sublimada premium; Relleno de vellón siliconado y colchón extraíble de  Espuma de alta densidad;" Lavable, Color inalterable"",Rojo Ferrari | Negro | Azul,";;
"Cama Merc3des,Camas Exclusivas,""Cama de lujo inspirada en Mercedes, calidad super premium. Anti desgarro y con proceso anti mancha. Elegancia y confort en cada detalle. 100% lavable y de colores inalterables"",,"" Anti desgarro y con proceso anti mancha. Diseño único inspirado en autos de lujo. 100% lavable y de colores inalterables. Exterior en Pana aterciopelada, anti desgarro y sublimada con diseños exclusivos"",""Tamaño: S, M";  Material: Pana sublimada premium; Relleno de vellón siliconado y colchón extraíble de  Espuma de alta densidad;" Lavable, Color inalterable"",Plateado | Negro | Blanco,";;
"Cucha para Gato Combo VW hippie ,Camas Exclusivas,""Cucha - Cueva - estilo Combi VW hippie, pana aterciopelada. Diseño retro, único, que combina nostalgia y confort para tu mascota."",,""Las Cuchas estilo Combi VW Hippie de pana aterciopelada para gato o perros chicos son un excelente refugio confortable gracias a su colchón interior y relleno de goma espuma. Recrea las primeras Combis VW decoradas con el estilo POWER FLOWER en el festival de música en Woodstock 1969, EEUU y que dió inicio al Movimiento HIPPIE."",""Tamaño único, 52x26x32.  Material: Pana aterciopelada premium"; Relleno: Espuma de alta densidad y colchón interior extraíble;" Lavable: 100%."",Hippie | Retro | Vintage,";;;
"Mochila Transportadora Premium,Transportadores,Mochila transportadora de alta calidad para gatos. Ideal para transporte en moto. 100% forradas.  Ventilación óptima y correas acolchadas para máxima seguridad y confort.,,,""Tamaño: Unico. Base 33x30y42 de alto  Material: Cordura importada premium anti-desgarro, forrada. Piso rígido "; Capacidad: Hasta  20 kg;" Lavable: Sí, manual."",Negro | Gris | Azul,";;;
"Bolso Transportador Premium,Transportadores,""Bolso transportador apertura doble. Ventilación óptima, piso rígido y cintas reforzadas. Interior 100% forrado. seguro y confortable "",,,""Tamaño: Unico. Base 22x42y30 de alto  Material: Cordura importada premium anti-desgarro, forrada. Piso rígido "; Capacidad: Hasta  20 kg;" Lavable: Sí, manual."",Natural | Premium,";;;
